> Austrailia_1	110	-10
80	-10	100.252811856	-10
100.252811856	-10	100.657	-9.49
100.657	-9.49	101.263	-8.719
101.263	-8.719	101.862	-7.955
101.862	-7.955	102.329	-7.153
102.329	-7.153	101.971	-6.886
101.971	-6.886	101.658	-6.569
> southeast_01_1	100.181090909	30
100.181090909	30	100.787	29.57
100.787	29.57	100.857	28.933
100.857	28.933	100.822	28.114
100.822	28.114	100.783	26.74
100.783	26.74	100.648	25.568
100.648	25.568	100.875	25.006
100.875	25.006	101.968	23.557
101.968	23.557	102.731	23.241
102.731	23.241	102.72	24.276
102.72	24.276	102.922	24.604
102.922	24.604	102.97	24.991
102.97	24.991	103.129	25.228
103.129	25.228	103.186	26.162
103.186	26.162	102.948	26.853
102.948	26.853	102.216	27.906
102.216	27.906	102.248	28.752
102.248	28.752	102.274	29.355
102.274	29.355	102.228	29.667
102.228	29.667	102.082625806	30
102.082625806	30	100.181090909	30
> WestOfSichuan_1	102.082625806	30
102.082625806	30	102.228	29.667
102.228	29.667	102.696876352	30
102.696876352	30	102.082625806	30
> hima-block_1	87.745	28.224
87.745	28.224	89.553	28.335
89.553	28.335	92.974	28.114
92.974	28.114	96.32	29.418
96.32	29.418	95.416	29.897
95.416	29.897	95.2218267223	30
95.2218267223	30	86.356452514	30
86.356452514	30	86.14	29.265
86.14	29.265	87.745	28.224
> east-central-tibet_1	95.2218267223	30
95.2218267223	30	95.416	29.897
95.416	29.897	96.32	29.418
96.32	29.418	96.85	28.962
96.85	28.962	97.379	28.505
97.379	28.505	97.603	27.739
97.603	27.739	98.166	27.296
98.166	27.296	99.04	26.629
99.04	26.629	99.459	25.204
99.459	25.204	100.587	24.698
100.587	24.698	100.875	25.006
100.875	25.006	100.648	25.568
100.648	25.568	100.783	26.74
100.783	26.74	100.822	28.114
100.822	28.114	100.857	28.933
100.857	28.933	100.787	29.57
100.787	29.57	100.181090909	30
100.181090909	30	95.2218267223	30
> new_e_syntaxis_1	97.603	27.739
97.603	27.739	97.5	27.087
97.5	27.087	96.992	26.067
96.992	26.067	96.36	25.186
96.36	25.186	96.114	24.361
96.114	24.361	96	23.4
96	23.4	95.982	23.091
95.982	23.091	95.968	22.923
95.968	22.923	96.481	22.717
96.481	22.717	97.188	22.695
97.188	22.695	98.017	22.795
98.017	22.795	98.539	22.934
98.539	22.934	99.239	23.239
99.239	23.239	99.6	23.692
99.6	23.692	100.035	24.251
100.035	24.251	100.587	24.698
100.587	24.698	99.459	25.204
99.459	25.204	99.04	26.629
99.04	26.629	98.166	27.296
98.166	27.296	97.603	27.739
> CentralTibet_1	83.7404434783	30
83.7404434783	30	83.976	29.897
83.976	29.897	85.008	29.431
85.008	29.431	86.14	29.265
86.14	29.265	86.356452514	30
86.356452514	30	83.7404434783	30
> Sumatran_fault_splay_1	99.999	0.658
99.999	0.658	99.725	0.949
99.725	0.949	99.529	1.163
99.529	1.163	99.394	1.348
99.394	1.348	99.261	1.518
99.261	1.518	99.315	1.342
99.315	1.342	99.392	1.119
99.392	1.119	99.495	0.821
99.495	0.821	99.625	0.604
99.625	0.604	99.847	0.422
99.847	0.422	100.009	0.257
100.009	0.257	100.127	0.199
100.127	0.199	100.115	0.383
100.115	0.383	99.999	0.658
> XXF_1	102.948	26.853
102.948	26.853	102.819	28.583
102.819	28.583	102.274	29.355
102.274	29.355	102.248	28.752
102.248	28.752	102.216	27.906
102.216	27.906	102.948	26.853
> END	
