> Eurasia
121.004 81.115
119.984 81.595
119.1 82.087
117.755 82.298
117.171 82.539
116.582 82.74
115.793 83.014
115.258 83.151
114.558 83.321
113.723 83.512
112.843 83.674
111.974 83.824
110.959 83.966
109.727 84.11
108.939 84.194
107.709 84.295
106.759 84.369
105.302 84.486
103.943 84.579
102.918 84.664
99.444 84.911
98.568 84.96
97.273 85.028
95.839 85.102
94.155 85.154
92.313 85.229
89.98 85.296
88.486 85.346
86.802 85.418
84.802 85.5
83.142 85.556
81.103 85.639
78.403 85.768
76.326 85.917
75.029 85.989
72.984 86.106
70.926 86.203
68.208 86.306
69.752 86.472
66.301 86.606
66.544 86.655
62.462 86.755
61.506 86.805
58.018 86.787
54.561 86.746
50.77 86.706
47.523 86.641
46.062 86.598
46.314 86.561
43.48 86.496
41.755 86.432
38.301 86.291
35.607 86.161
33.34 86.053
30.972 85.908
29.229 85.81
28.143 85.874
27.427 85.867
25.383 85.859
23.347 85.817
21.343 85.799
19.285 85.684
17.89 85.591
16.063 85.486
14.666 85.38
13.242 85.281
11.704 85.137
10.659 85.067
9.809 84.958
8.938 85.009
8.134 84.898
6.665 84.762
5.178 84.632
4.508 84.57
4.035 84.597
3.848 84.561
3.024 84.462
2.235 84.344
1.301 84.223
0.405 84.102
0 84.0535
-0.469 83.996
-1.206 83.864
-2.363 83.69
-3.204 83.57
-4.148 83.43
-5.154 83.249
-6.234 83
-7.212 82.868
-5.865 82.691
-5.01 82.519
-3.7 82.328
-3.796 82.29
-4.537 82.05
-5.033 81.913
-3.909 81.62
-4.152 81.552
-4.641 81.37
-3.454 81.251
-2.414 81.126
-2.779 80.993
-3.364 80.792
-2.942 80.755
-1.684 80.625
-2.341 80.37
-1.766 80.308
-0.969 80.213
-0.251 80.142
0 80.1094
0.628 80.026
1.487 79.909
2.378 79.78
3.296 79.657
4.39 79.533
3.901 79.228
3.432 79.03
3.857 78.95
4.691 78.806
5.592 78.641
6.776 78.444
7.785 78.235
7.827 78.09
7.771 77.911
7.88 77.712
7.809 77.479
7.672 77.148
7.622 76.969
7.615 76.799
7.563 76.602
7.557 76.431
7.48 76.279
7.515 76.117
7.593 75.981
7.603 75.729
7.842 75.527
7.946 75.382
8.212 75.188
8.46 75.076
8.63 74.946
8.781 74.763
8.984 74.543
9.133 74.377
9.153 74.233
9.208 74.096
9.203 73.98
9.14 73.882
9.037 73.758
8.957 73.706
8.838 73.628
8.652 73.534
8.386 73.485
8.15 73.427
7.791 73.371
7.391 73.252
7.071 73.204
6.782 73.145
6.055 73.019
5.586 72.924
4.97 72.82
4.3 72.697
3.609 72.58
2.781 72.433
1.991 72.328
0.901 72.134
0.281 72.015
0 71.9716
-0.392 71.91
-0.975 71.815
> NorthAmerica
-0.969 80.213
-1.766 80.308
-2.341 80.37
-1.684 80.625
-2.942 80.755
-3.364 80.792
-2.779 80.993
-2.414 81.126
-3.454 81.251
-4.641 81.37
-4.152 81.552
-3.909 81.62
-5.033 81.913
-4.537 82.05
-3.796 82.29
-3.7 82.328
-5.01 82.519
-5.865 82.691
-7.212 82.868
-6.234 83
-5.154 83.249
-4.148 83.43
-3.204 83.57
-2.363 83.69
-1.206 83.864
-0.469 83.996
0 84.0535
0.405 84.102
1.301 84.223
2.235 84.344
3.024 84.462
3.848 84.561
4.035 84.597
4.508 84.57
5.178 84.632
6.665 84.762
8.134 84.898
8.938 85.009
9.809 84.958
10.659 85.067
11.704 85.137
13.242 85.281
14.666 85.38
16.063 85.486
17.89 85.591
19.285 85.684
21.343 85.799
23.347 85.817
25.383 85.859
27.427 85.867
28.143 85.874
29.229 85.81
30.972 85.908
33.34 86.053
35.607 86.161
38.301 86.291
41.755 86.432
43.48 86.496
46.314 86.561
46.062 86.598
47.523 86.641
50.77 86.706
54.561 86.746
58.018 86.787
61.506 86.805
62.462 86.755
66.544 86.655
66.301 86.606
69.752 86.472
68.208 86.306
70.926 86.203
72.984 86.106
75.029 85.989
76.326 85.917
78.403 85.768
81.103 85.639
83.142 85.556
84.802 85.5
86.802 85.418
88.486 85.346
89.98 85.296
92.313 85.229
94.155 85.154
95.839 85.102
97.273 85.028
98.568 84.96
99.444 84.911
102.918 84.664
103.943 84.579
105.302 84.486
106.759 84.369
107.709 84.295
108.939 84.194
109.727 84.11
110.959 83.966
111.974 83.824
112.843 83.674
113.723 83.512
114.558 83.321
115.258 83.151
115.793 83.014
116.582 82.74
117.171 82.539
117.755 82.298
119.1 82.087
119.984 81.595
121.004 81.115
121.898 80.643
122.639 80.206
123.408 79.759
125.188 78.99
125.679 78.133
126.457 77.684
127.181 77.234
127.634 76.642
128.05 76.05
128.519 75.495
128.955 74.938
129.595 74.479
130.2 74.018
131.263 73.371
132.483 72.695
133.267 72.281
134.017 71.865
135.354 71.393
136.566 70.996
140.409 68.825
140.425 68.123
139.849 67.262
142.75 65.721
143.959 65.412
145.682 65.066
147.348 64.526
149.452 63.928
151.45 62.861
152.171 62.567
153.097 62.534
155.019 62.108
156.12 61.596
157.68 61.032
160.424 60.122
163.078 59.615
164.644 59.173
164.733 59.511
165.513 60.516
166.544 60.889
168.395 61.456
172.369 62.697
172.827 63.793
175.193 65.168
178.349 66.08
-172.769 67.097
-158.44 71.338
-145.535 70.568
-133.62 69.936
-134.73 66.535
-128.172 65.684
-124.035 63.984
-122.623 62.152
-120.403 57.901
-123.251 55.51
-119.407 51.123
-115.978 51.971
-114.801 50.486
-113.71 48.982
-112.806 47.979
-112.62 47.359
-112.13 47.165
-111.636 46.886
-110.753 46.184
-110.409 45.597
-110.809 45.228
-111.674 45.006
-111.62 44.796
-111.562 44.185
-111.299 44.058
-110.679 44.04
-110.401 44.121
-110.104 44.058
-110.64 42.896
-110.817 41.758
-111.287 41.802
-111.741 41.524
-111.915 41.015
-111.837 40.625
-111.582 40.143
-111.783 39.9
-111.946 39.166
-112.066 38.714
-112.187 38.262
-113 37.709
-113.229 37.489
-113.296 37.018
-113.565 36.86
-113.874 36.368
-114.116 36.033
-116.392 35.596
-116.357 35.246
-116.301 35.173
-116.182 35.067
-116.251 34.961
-116.203 34.909
-116.217 34.826
-116.189 34.785
-116.161 34.707
-115.877 34.443
-115.979 34.116
-116.151 34.142
-116.235 34.145
-116.288 34.143
-116.42 34.131
-116.362 34.066
-116.329 34.008
-116.183 33.794
-116.124 33.699
-116.097 33.671
-116.055 33.638
-116.024 33.612
-115.981 33.567
-115.937 33.522
-115.883 33.472
-115.829 33.423
-115.772 33.376
-115.714 33.329
-115.692 33.286
-115.67 33.243
-115.648 33.197
-115.626 33.151
-115.601 33.084
-115.577 33.017
-115.565 32.958
-115.554 32.899
-115.535 32.872
-115.478 32.807
-115.429 32.753
-115.379 32.7
-115.33 32.646
-115.28 32.592
-115.232 32.516
-115.184 32.44
-115.137 32.364
-115.089 32.288
-115.041 32.212
-114.993 32.136
-114.765 31.995
-114.522 31.786
-114.332 31.602
-114.207 31.459
-114.118 31.356
-114.33 31.194
-114.439 31.097
-114.303 30.912
-114.129 30.68
-113.986 30.513
-113.807 30.314
-114.041 30.12
-113.909 29.982
-113.758 29.834
-113.87 29.73
-113.969 29.646
-113.775 29.44
-113.521 29.205
-113.281 29.008
-113.339 28.95
-113.087 28.715
-112.812 28.499
-112.589 28.322
-112.321 28.125
-112.015 27.906
-111.711 27.694
-111.506 27.57
-111.382 27.497
-111.569 27.215
-111.373 27.105
-111.506 26.927
-111.228 26.723
-110.957 26.535
-110.758 26.416
-110.68 26.36
-110.778 26.225
-110.572 26.066
-110.291 25.89
-110.024 25.706
-109.872 25.607
-109.806 25.557
-110.007 25.339
-109.788 25.18
-109.591 25.016
-109.35 24.857
-109.178 24.735
-109.062 24.658
-109.276 24.396
-109.002 24.151
-108.806 23.984
-108.61 23.814
-108.439 23.674
-108.357 23.613
-108.651 23.241
-108.388 23.082
-108.01 22.986
-108.232 22.712
-108.273 22.613
-108.407 22.44
-108.527 22.277
-108.516 22.201
-108.589 22.102
-108.676 21.96
-108.582 21.905
-108.397 21.835
-108.114 21.72
-107.928 21.686
-107.774 21.74
-107.586 21.742
-107.393 21.748
-107.171 21.752
-107.046 21.754
-106.89 21.799
-106.862 21.716
-106.808 21.64
-106.757 21.483
-106.624 21.311
-106.551 21.235
-106.525 21.184
-106.442 21.121
-106.381 20.84
-106.387 20.638
-106.385 20.428
-106.179 19.952
-105.974 19.556
-105.629 19.25
-105.273 18.958
-105.191 18.888
-104.919 18.663
-104.517 18.429
-104.18 18.121
-103.796 17.861
-103.378 17.659
-102.968 17.444
-102.574 17.2
-102.133 17.048
-101.692 16.894
-101.254 16.732
-100.819 16.567
-100.383 16.403
-99.954 16.236
-99.513 16.09
-99.082 15.919
-98.649 15.755
-98.211 15.604
-97.764 15.474
